Date	Time	AveragePeak
2014:12:04	19:43:51.592	75.696849	97.294628
2014:12:04	19:43:51.692	74.057696	97.294628
2014:12:04	19:43:51.792	75.673593	97.294628
2014:12:04	19:43:51.892	75.606229	97.294628
2014:12:04	19:43:51.992	74.753666	97.294628
2014:12:04	19:43:52.092	88.938037	102.930372
2014:12:04	19:43:52.192	86.543561	96.558435
2014:12:04	19:43:52.292	75.880909	96.558435
2014:12:04	19:43:52.392	75.522143	96.558435
2014:12:04	19:43:52.492	76.462271	96.558435
2014:12:04	19:43:52.592	75.079165	96.558435
2014:12:04	19:43:52.692	74.572907	96.558435
2014:12:04	19:43:52.792	102.678679	102.740135
2014:12:04	19:43:52.892	73.542677	102.740135
2014:12:04	19:43:52.992	72.279973	102.740135
2014:12:04	19:43:53.092	75.374224	102.740135
2014:12:04	19:43:53.192	94.485012	104.375851
2014:12:04	19:43:53.292	70.566614	104.375851
2014:12:04	19:43:53.392	72.347419	104.375851
2014:12:04	19:43:53.492	75.017218	104.375851
2014:12:04	19:43:53.592	76.779753	104.375851
2014:12:04	19:43:53.691	75.639339	104.375851
2014:12:04	19:43:53.792	75.093327	104.375851
2014:12:04	19:43:53.892	76.150501	104.375851
2014:12:04	19:43:53.992	74.997308	104.375851
2014:12:04	19:43:54.092	75.604325	104.375851
2014:12:04	19:43:54.192	75.278229	104.375851
2014:12:04	19:43:54.292	74.441866	75.509709
2014:12:04	19:43:54.392	76.306268	76.306268
2014:12:04	19:43:54.492	91.733952	91.733952
2014:12:04	19:43:54.592	76.862322	104.551920
2014:12:04	19:43:54.691	70.965183	104.551920
2014:12:04	19:43:54.792	80.096888	105.150601
2014:12:04	19:43:54.891	74.777098	105.150601
2014:12:04	19:43:54.992	70.640222	105.150601
2014:12:04	19:43:55.092	76.139652	105.150601
2014:12:04	19:43:55.192	75.153888	105.150601
2014:12:04	19:43:55.292	75.858618	105.150601
2014:12:04	19:43:55.392	74.708726	105.150601
2014:12:04	19:43:55.492	75.555782	105.150601
2014:12:04	19:43:55.592	73.938946	105.150601
2014:12:04	19:43:55.692	74.928630	105.150601
2014:12:04	19:43:55.792	74.368395	105.150601
2014:12:04	19:43:55.892	100.602868	105.150601
2014:12:04	19:43:55.992	72.187261	105.150601
2014:12:04	19:43:56.092	77.878569	105.150601
2014:12:04	19:43:56.192	75.737566	105.150601
2014:12:04	19:43:56.292	75.242221	105.150601
2014:12:04	19:43:56.392	76.737834	76.739209
2014:12:04	19:43:56.492	75.977874	76.739209
2014:12:04	19:43:56.592	76.406868	76.739209
2014:12:04	19:43:56.691	75.560542	76.739209
2014:12:04	19:43:56.792	75.449660	76.739209
2014:12:04	19:43:56.892	75.852995	76.926863
2014:12:04	19:43:56.991	75.594216	76.926863
2014:12:04	19:43:57.091	74.804610	76.926863
2014:12:04	19:43:57.192	77.956093	102.876384
2014:12:04	19:43:57.292	71.571603	102.876384
2014:12:04	19:43:57.392	72.692847	102.876384
2014:12:04	19:43:57.491	75.472651	102.876384
2014:12:04	19:43:57.592	76.163346	102.876384
2014:12:04	19:43:57.692	76.721927	102.876384
2014:12:04	19:43:57.792	76.206213	102.876384
2014:12:04	19:43:57.891	105.694537	105.813864
2014:12:04	19:43:57.992	74.143949	105.813864
2014:12:04	19:43:58.092	72.508714	105.813864
2014:12:04	19:43:58.192	75.129709	105.813864
2014:12:04	19:43:58.291	76.472540	105.813864
2014:12:04	19:43:58.392	77.484792	105.813864
2014:12:04	19:43:58.492	78.033788	78.456107
2014:12:04	19:43:58.591	77.047113	78.456107
2014:12:04	19:43:58.692	76.109973	78.456107
2014:12:04	19:43:58.792	77.847016	78.456107
2014:12:04	19:43:58.891	75.535272	78.456107
2014:12:04	19:43:58.992	77.419867	78.456107
2014:12:04	19:43:59.093	78.467699	79.665480
2014:12:04	19:43:59.192	76.381861	79.665480
2014:12:04	19:43:59.292	77.120216	79.665480
2014:12:04	19:43:59.392	77.859409	79.665480
2014:12:04	19:43:59.492	76.591605	79.665480
2014:12:04	19:43:59.591	81.427561	105.289189
2014:12:04	19:43:59.691	75.145030	105.289189
2014:12:04	19:43:59.792	75.486931	105.289189
2014:12:04	19:43:59.892	76.502268	105.289189
2014:12:04	19:43:59.992	77.253709	105.289189
2014:12:04	19:44:0.092	76.722531	105.289189
2014:12:04	19:44:0.191	76.661791	105.289189
2014:12:04	19:44:0.292	103.918880	105.289189
2014:12:04	19:44:0.392	74.884358	105.289189
2014:12:04	19:44:0.492	95.557080	106.491961
2014:12:04	19:44:0.592	71.992958	82.436008
2014:12:04	19:44:0.692	71.586258	82.436008
2014:12:04	19:44:0.792	79.556165	82.436008
2014:12:04	19:44:0.892	78.428888	82.436008
2014:12:04	19:44:0.992	77.686345	82.436008
2014:12:04	19:44:1.092	87.668944	87.668944
2014:12:04	19:44:1.192	76.681372	104.519820
2014:12:04	19:44:1.292	75.264410	104.519820
2014:12:04	19:44:1.392	74.526648	104.519820
2014:12:04	19:44:1.492	77.810417	104.519820
2014:12:04	19:44:1.592	77.906404	104.519820
2014:12:04	19:44:1.691	77.277529	104.519820
2014:12:04	19:44:1.792	78.546178	104.519820
2014:12:04	19:44:1.892	78.572470	104.519820
2014:12:04	19:44:1.992	79.037011	104.519820
2014:12:04	19:44:2.092	78.138103	104.519820
