Time,CBuilding,Playground,Dorm5,Dorm9,Dorm8,Road,Playground2,CBuilding2,Road2,Road3
22:16.1,53.958324,88.161807,84.139057,87.874084,47.670097,88.909359,62.160389,72.674765,59.868386,65.076479
22:16.2,49.940221,94.025117,83.614986,91.080971,48.247478,87.250229,61.788808,71.308177,74.474025,73.959388
22:16.3,48.382525,90.707606,77.595886,75.497521,46.908075,88.393234,62.140026,68.469737,77.844963,73.063794
22:16.4,48.767071,88.923886,73.342816,71.648395,51.886261,89.307245,55.512177,74.138094,86.241744,70.697415
22:16.5,48.058789,86.14983,65.612555,69.398537,48.176641,88.910593,55.042752,62.258568,75.603139,72.829858
22:16.6,50.368013,89.565012,68.309232,55.210695,47.401745,87.085157,71.795843,68.268591,68.791802,60.264091
22:16.7,50.794872,88.937477,77.810911,49.721132,53.615227,84.270023,69.308955,56.241403,85.690658,58.251364
22:16.8,48.82269,91.982609,80.108043,48.514212,47.951488,85.151011,63.036986,78.406736,67.380054,61.57975
22:16.9,58.668042,89.446722,73.875515,50.44617,47.778071,81.118234,50.671619,68.605591,83.870173,71.091278
22:17.0,54.310155,95.71975,67.86227,52.17391,48.762671,81.341812,54.845002,70.657568,82.794275,57.923572
22:17.1,50.516891,91.745532,63.915354,50.177506,48.735874,81.271844,60.051528,58.018167,82.946217,68.427529
22:17.2,63.063264,92.646004,66.03768,52.65508,47.878207,81.398858,84.237237,59.010805,82.13762,69.202715
22:17.3,48.76792,91.346594,68.59446,50.747934,48.264558,80.809268,91.162234,66.738527,80.525648,62.166583
22:17.4,51.188248,90.895946,74.09193,48.483098,46.099007,80.164628,89.758854,74.807529,79.086766,61.135233
22:17.5,56.126167,91.469659,71.32753,67.189041,48.880002,79.440402,85.726268,68.338973,78.870761,66.421729
22:17.6,47.896739,90.546238,71.319553,74.130405,47.976973,80.124807,68.025311,70.700263,80.844051,54.42616
22:17.7,49.226305,94.14338,74.348868,73.869616,47.802089,79.931588,63.679812,72.87176,86.973729,74.036794
22:17.8,47.220694,90.610528,73.66746,75.052874,51.422155,78.673396,78.279438,55.090734,82.373799,82.946625
22:17.9,47.739686,86.605255,74.462948,87.189239,47.282514,79.448356,90.747983,73.797035,86.661042,89.97551
