Time,Zhangjin,Tianzi,Xiaoshi,Xinchang
19:35:21.217,79.330912,86.768788,80.792468,78.268393
19:35:21.318,79.023714,84.02879,81.233442,78.236122
19:35:21.418,82.523294,90.256529,83.556978,76.2986
19:35:21.518,79.250318,90.437259,87.009567,74.17461
19:35:21.617,88.183242,89.544126,86.078638,83.216854
19:35:21.719,74.075005,90.127122,96.401828,80.479582
19:35:21.818,73.038352,86.326789,79.587101,80.193961
19:35:21.918,67.802231,90.675789,87.865754,80.240494
19:35:22.018,58.90335,86.782869,81.688799,77.332425
19:35:22.117,80.781753,89.264012,76.061333,77.474102
19:35:22.218,74.007358,89.583743,73.952804,78.078495
19:35:22.318,62.168856,89.737847,79.509136,79.109617
19:35:22.418,65.691816,89.074178,74.969147,78.418779
19:35:22.518,67.755358,88.994026,60.760929,77.904085
19:35:22.618,78.667018,89.771311,73.699344,86.803523
19:35:22.718,80.064945,89.002038,79.184238,91.463886
19:35:22.818,84.603065,87.43436,82.6622,89.157495
19:35:22.918,78.171553,86.165882,79.860548,88.936514
19:35:23.018,71.341008,84.93633,86.077518,94.332324
19:35:23.117,74.875948,84.72689,94.901528,95.576373
19:35:23.217,71.093782,83.676561,89.615987,86.849239
19:35:23.318,74.011786,82.411357,82.565572,91.210386
19:35:23.418,78.910045,83.233899,79.065658,94.925218
19:35:23.518,86.248568,83.344741,69.949528,90.317514
19:35:23.618,92.361922,84.277675,72.333825,89.208606
19:35:23.717,88.255235,71.429998,87.53546,73.388103
19:35:23.818,82.334528,52.017358,74.298835,73.929412
19:35:23.918,88.766793,56.647103,90.568028,74.388939
19:35:24.018,81.399847,52.925227,86.146491,74.006216
19:35:24.117,79.636236,47.397264,88.071941,74.886858
19:35:24.217,70.857925,49.399329,79.621628,73.758634
19:35:24.318,63.414693,60.153389,87.49547,74.478019
